select count(*) count, x_WdID, x_Wd, json_group_array(x_SID) sids, json_group_array(x_SoundFile) files, x_Ex from (select x.WdID x_WdID, x.Wd x_Wd, x.SID x_SID, x.SoundFile x_SoundFile, x.Ex x_Ex, x.IPA x_IPA, x.Trs x_Trs, hx.Ex hxEx from examples as x left join headword_exs as hx on x_Ex = hx.Ex and x_WdID = hx.WdID) where hxEx is not null group by x_WdID, x_Ex having count > 1 order by count desc, x_WdID asc, x_SID asc;
6	1670	⸢イシゥ⸣カーン	[2684,2684,2691,2691,2691,2691]	["htm_2684.wav","htm_2684.wav","x","x","htm_2691.wav","htm_2691.wav"]	⸢イシゥカー　ナー⸣ヌ
6	1670	⸢イシゥ⸣カーン	[2686,2686,2694,2694,2694,2694]	["htm_2686.wav","htm_2686.wav","x","x","htm_2694.wav","htm_2694.wav"]	⸢イシゥ⸣カー　⸣クトー　⸢ナー⸣ヌ
6	2328	⸢ウイコースン	[3651,3651,3655,3655,3655,3655]	["htm_3651.wav","htm_3651.wav","x","x","htm_3655.wav","htm_3655.wav"]	⸢ウイコーシェー⸣　ミサムヌ
6	2328	⸢ウイコースン	[3652,3652,3656,3656,3656,3656]	["htm_3652.wav","htm_3652.wav","x","x","htm_3656.wav","htm_3656.wav"]	⸢ウイコーシ⸣バ
6	2391	⸢ウイパラ⸣スン	[3748,3748,3754,3754,3754,3754]	["htm_3748.wav","htm_3748.wav","x","x","htm_3754.wav","htm_3754.wav"]	⸢ウイパラ⸣シェー　⸣ミサムヌ
6	2418	⸢ウーン	[3800,3800,3813,3813,3813,3813]	["htm_3800.wav","htm_3800.wav","x","x","htm_3813.wav","htm_3813.wav"]	ウ⸢ヤ⸣ヌ　シ⸢ビ　ウーン
6	2420	⸣ウーン	[3832,3832,3838,3838,3838,3838]	["htm_3832.wav","htm_3832.wav","x","x","htm_3838.wav","htm_3838.wav"]	⸢ワー⸣　ウーカー　⸢バン⸣ヌン　⸣ウーン
6	2472	⸢ウー⸣ムン	[3936,3936,3943,3943,3943,3943]	["htm_3936.wav","htm_3936.wav","x","x","htm_3943.wav","htm_3943.wav"]	⸢パー⸣ク　⸢ウー⸣ミ
6	2531	ウ⸢ギナウン	[4064,4064,4068,4068,4068,4068]	["htm_4064.wav","htm_4064.wav","x","x","htm_4068.wav","htm_4068.wav"]	ウ⸢ギナイヤー⸣　ミサムヌ
6	2623	ウ⸢サッキ⸣ルン	[4310,4310,4315,4315,4315,4315]	["htm_4310.wav","htm_4310.wav","x","x","htm_4315.wav","htm_4315.wav"]	ウ⸢サッキ⸣レー　⸣ミサムヌ
6	2678	ウ⸢シナウン	[4481,4481,4487,4487,4481,4481]	["x","x","htm_4487.wav","htm_4487.wav","htm_4481.wav","htm_4481.wav"]	ウ⸢シナイヤー⸣　ミサムヌ
6	2795	ウ⸢タイヨー⸣ルン	[4747,4747,4753,4753,4753,4753]	["htm_4747.wav","htm_4747.wav","x","x","htm_4753.wav","htm_4753.wav"]	ウ⸢タイヨー⸣リ
6	2810	ウ⸢タ⸣スン	[4788,4788,4795,4795,4795,4795]	["htm_4788.wav","htm_4788.wav","x","x","htm_4795.wav","htm_4795.wav"]	⸣ガバー　ウ⸢タ⸣スン
6	2822	ウ⸢ダラ⸣クン	[4829,4829,4835,4835,4835,4835]	["htm_4829.wav","htm_4829.wav","x","x","htm_4835.wav","htm_4835.wav"]	ウ⸢ダラ⸣ケー　⸣ミサムヌ
6	2913	⸢ウッふン	[5050,5050,5055,5055,5055,5055]	["htm_5050.wav","htm_5050.wav","x","x","htm_5055.wav","htm_5055.wav"]	⸢ウッふィ⸣バ
6	2919	⸣ウトゥン	[5082,5082,5088,5088,5088,5088]	["htm_5082.wav","htm_5082.wav","x","x","htm_5088.wav","htm_5088.wav"]	⸣ウマーラ　⸣ウテー　⸣ミサムヌ
6	2954	ウ⸢トゥン	[5158,5158,5162,5162,5162,5162]	["htm_5158.wav","htm_5158.wav","x","x","htm_5162.wav","htm_5162.wav"]	⸢パー⸣ク　ウ⸢テー⸣　ミサムヌ
6	3044	⸣ウビ	[5296,5296,5297,5297,5297,5297]	["htm_5296.wav","htm_5296.wav","x","x","htm_5297.wav","htm_5297.wav"]	⸢ジン⸣マー　ウ⸢ビ⸣ル　⸣アル
6	3281	ウ⸢ムインザ⸣スン	[5647,5647,5651,5651,5651,5651]	["htm_5647.wav","htm_5647.wav","x","x","htm_5651.wav","htm_5651.wav"]	⸢パー⸣ク　ウ⸢ムインザ⸣シェー　⸣ミサムヌ
6	3710	⸣カイ	[6517,6517,6518,6518,6518,6518]	["htm_6517.wav","htm_6517.wav","x","x","htm_6518.wav","htm_6518.wav"]	⸣カイニ　⸢シー⸣バ
6	3720	⸣カイニ	[6554,6554,6559,6559,6559,6559]	["htm_6554.wav","htm_6554.wav","x","x","htm_6559.wav","htm_6559.wav"]	⸣カイニ　⸢シー⸣バ
6	3721	⸣カイブ	[6560,6560,6567,6567,6567,6567]	["htm_6560.wav","htm_6560.wav","x","x","htm_6567.wav","htm_6567.wav"]	⸣カイブ　⸣クトー　ス⸢ナ⸣ヨー
6	3972	カ⸢キッツァー⸣スン	[7207,7207,7210,7210,7210,7210]	["htm_7207.wav","htm_7207.wav","x","x","htm_7210.wav","htm_7210.wav"]	カ⸢キッツァー⸣シェー　⸣ミサムヌ
6	3972	カ⸢キッツァー⸣スン	[7208,7208,7211,7211,7211,7211]	["htm_7208.wav","htm_7208.wav","x","x","htm_7211.wav","htm_7211.wav"]	カ⸢キッツァー⸣シバ
6	4107	カ⸢サムン	[7540,7540,7541,7541,7540,7540]	["htm_7540.wav","htm_7540.wav","x","x","htm_7540.wav","htm_7540.wav"]	⸢ヌシ⸣トゥル　カ⸢サムン
6	4176	⸢カシカシマー⸣スン	[7673,7673,7678,7678,7678,7678]	["htm_7673.wav","htm_7673.wav","x","x","htm_7678.wav","htm_7678.wav"]	⸢カシカシマー⸣シェー　⸣ミサムヌ
6	4379	カ⸢タミルン	[8098,8098,8098,8098,8104,8104]	["htm_8098.wav","htm_8098.wav","x","x","htm_8104.wav","htm_8104.wav"]	カ⸢タミヤッ⸣サン
6	5239	キ⸢ツァ⸣ン	[9633,9633,9636,9636,9633,9633]	["x","x","x","x","htm_9633.wav","htm_9633.wav"]	⸢ナン⸣ゾー　⸣キツァー　⸢ナー⸣ヌ
6	5271	⸣キスン	[9709,9709,9715,9715,9715,9715]	["htm_9709.wav","htm_9709.wav","x","x","htm_9715.wav","htm_9715.wav"]	⸢パー⸣ク　⸣キシ
6	5823	⸣クルン	[10748,10748,10754,10754,10754,10754]	["htm_10748.wav","htm_10748.wav","x","x","htm_10754.wav","htm_10754.wav"]	⸣クレー　⸣ミサムヌ
6	5833	⸢クーン	[10792,10792,10792,10792,10797,10797]	["htm_10792.wav","htm_10792.wav","x","x","htm_10797.wav","htm_10797.wav"]	⸢クイヤー⸣　ミサムヌ
6	5833	⸢クーン	[10793,10793,10793,10793,10798,10798]	["htm_10793.wav","htm_10793.wav","x","x","htm_10798.wav","htm_10798.wav"]	⸢パー⸣ク　⸢クイ⸣バ
6	6023	⸢クッ⸣ツァー	[11133,11133,11135,11135,11133,11133]	["x","x","htm_11135.wav","htm_11135.wav","htm_11133.wav","htm_11133.wav"]	⸢クッ⸣ツァー　グ⸢マー⸣ンダ　⸢カーサラヌ
6	6169	グ⸢マ	[11433,11433,11435,11435,11435,11435]	["htm_11433.wav","htm_11433.wav","x","x","htm_11435.wav","htm_11435.wav"]	グ⸢マ⸣ムヌ
6	6611	⸢コー⸣ン	[12250,12250,12245,12245,12250,12250]	["htm_12250.wav","htm_12250.wav","htm_12245.wav","htm_12245.wav","x","x"]	⸢シンダイ　コー⸣　ナルン
6	6658	ッ⸢サー⸣ク	[12345,12345,12348,12348,12348,12348]	["htm_12345.wav","htm_12345.wav","x","x","htm_12348.wav","htm_12348.wav"]	ッ⸢サー⸣ク　⸢スン
6	6741	⸣サウン	[12484,12484,12487,12487,12487,12487]	["htm_12484.wav","htm_12484.wav","x","x","htm_12487.wav","htm_12487.wav"]	⸢マイ⸣　サウン
6	6743	⸢サウン	[12505,12505,12510,12510,12505,12505]	["x","x","htm_12510.wav","htm_12510.wav","htm_12505.wav","htm_12505.wav"]	⸢マー⸣ビン　⸢サイヤー⸣　ミサムヌ
6	6890	⸣サクン	[12762,12762,12768,12768,12768,12768]	["htm_12762.wav","htm_12762.wav","x","x","htm_12768.wav","htm_12768.wav"]	パ⸢ナ⸣ヌ　⸣サクン
6	7238	⸣シー	[13359,13359,13361,13361,13361,13361]	["htm_13359.wav","htm_13359.wav","x","x","htm_13361.wav","htm_13361.wav"]	⸣パトゥザヌ　⸣シー
6	7994	シ⸢ビコー⸣ルン	[14803,14803,14809,14809,14809,14809]	["htm_14803.wav","htm_14803.wav","x","x","htm_14809.wav","htm_14809.wav"]	シ⸢ビコー⸣レー　⸣ミサムヌ
6	8000	⸣シチ	[14816,14816,14816,14816,14821,14821]	["htm_14816.wav","htm_14816.wav","x","x","htm_14821.wav","htm_14821.wav"]	シ⸢チ⸣ニー
6	8475	⸣シムン	[15646,15646,15646,15646,15657,15657]	["htm_15646.wav","htm_15646.wav","x","x","htm_15657.wav","htm_15657.wav"]	⸣シミバ
6	8608	⸣シル	[15895,15895,15896,15896,15896,15896]	["htm_15895.wav","htm_15895.wav","x","x","htm_15896.wav","htm_15896.wav"]	⸣シル　⸣パルン
6	9836	タ⸢ジナイ⸣ルン	[17941,17941,17944,17944,17944,17944]	["htm_17941.wav","htm_17941.wav","x","x","htm_17944.wav","htm_17944.wav"]	ヤー⸢ディン⸣　タ⸢ジナイ⸣リ
6	9850	タ⸢タッ⸣クン	[18004,18004,18011,18011,18011,18011]	["htm_18004.wav","htm_18004.wav","x","x","htm_18011.wav","htm_18011.wav"]	⸢パー⸣ク　タ⸢タッ⸣キ
6	9871	タ⸢タ⸣ルン	[18069,18069,18075,18075,18075,18075]	["htm_18069.wav","htm_18069.wav","x","x","htm_18075.wav","htm_18075.wav"]	タ⸢タ⸣ル　⸣クトー　⸢ナー⸣ヌ
6	9871	タ⸢タ⸣ルン	[18070,18070,18076,18076,18076,18076]	["htm_18070.wav","htm_18070.wav","x","x","htm_18076.wav","htm_18076.wav"]	タ⸢タ⸣レー　⸣ミサムヌ
6	10182	タ⸢ルガキルン	[18690,18690,18694,18694,18694,18694]	["htm_18690.wav","htm_18690.wav","x","x","htm_18694.wav","htm_18694.wav"]	タ⸢ルガキリ
6	10379	ッ⸢サールン	[19044,19044,19049,19049,19049,19049]	["htm_19044.wav","htm_19044.wav","x","x","htm_19049.wav","htm_19049.wav"]	⸢パー⸣ク　ッ⸢サーリ
6	10674	ッ⸢ふン	[19656,19656,19662,19662,19662,19662]	["htm_19656.wav","htm_19656.wav","x","x","htm_19662.wav","htm_19662.wav"]	⸢マー⸣ビン　ッ⸢ふァイヤー⸣　ミサムヌ
6	10747	⸢ティーダラ⸣スン	[19843,19843,19849,19849,19849,19849]	["htm_19843.wav","htm_19843.wav","x","x","htm_19849.wav","htm_19849.wav"]	⸢ティーダラ⸣シ
6	11969	⸢ナスクン	[21950,21950,21954,21954,21954,21954]	["htm_21950.wav","htm_21950.wav","x","x","htm_21954.wav","htm_21954.wav"]	⸢ナシケー⸣　ミサムヌ
6	12186	ナ⸢ラー⸣スン	[22350,22350,22356,22356,22356,22356]	["htm_22350.wav","htm_22350.wav","x","x","htm_22356.wav","htm_22356.wav"]	ナ⸢ラー⸣シェー　⸣ミサムヌ
6	12572	⸢ヌー⸣シ	[23102,23102,23106,23106,23106,23106]	["htm_23102.wav","htm_23102.wav","x","x","htm_23106.wav","htm_23106.wav"]	ク⸢レー　ヌー⸣シ　⸢スーワ
6	12714	⸢ヌシ⸣トゥルン	[23398,23398,23403,23403,23403,23403]	["htm_23398.wav","htm_23398.wav","x","x","htm_23403.wav","htm_23403.wav"]	⸢ヌシ⸣トゥレー　⸣ミサムヌ
6	12863	⸢ノー⸣スン	[23712,23712,23717,23717,23717,23717]	["htm_23712.wav","htm_23712.wav","x","x","htm_23717.wav","htm_23717.wav"]	⸢ノー⸣シェー　⸣ミサムヌ
6	12895	⸢ハーガラ⸣スン	[23771,23771,23776,23776,23776,23776]	["htm_23771.wav","htm_23771.wav","x","x","htm_23776.wav","htm_23776.wav"]	⸢ハーガラ⸣シェー　⸣ミサムヌ
6	13205	⸢バシキルン	[24430,24430,24434,24434,24434,24434]	["htm_24430.wav","htm_24430.wav","x","x","htm_24434.wav","htm_24434.wav"]	⸢パー⸣ク　⸢バシキリ
6	13900	⸢パンツァスン	[25675,25675,25675,25675,25680,25680]	["htm_25675.wav","htm_25675.wav","x","x","htm_25680.wav","htm_25680.wav"]	⸣ドゥーシ　⸢パンツァシ
6	13991	⸢ピー⸣スクン	[25816,25816,25823,25823,25823,25823]	["htm_25816.wav","htm_25816.wav","x","x","htm_25823.wav","htm_25823.wav"]	⸢ピー⸣シキ　⸢ナー⸣ヌ
6	13991	⸢ピー⸣スクン	[25819,25819,25825,25825,25825,25825]	["htm_25819.wav","htm_25819.wav","x","x","htm_25825.wav","htm_25825.wav"]	⸢ピー⸣シケー　⸣ミサムヌ
6	15643	⸢ホイナ⸣クン	[29205,29205,29205,29205,29210,29210]	["htm_29205.wav","htm_29205.wav","x","x","htm_29210.wav","htm_29210.wav"]	⸢マー⸣ビン　⸢ホイナ⸣ケー　⸣ミサムヌ
6	16874	ム⸢チナ⸣スン	[31506,31506,31510,31510,31510,31510]	["htm_31506.wav","htm_31506.wav","x","x","htm_31510.wav","htm_31510.wav"]	⸢パー⸣ク　ム⸢チナ⸣シェー　⸣ミサムヌ
4	1389	⸣アン	[2263,2263,2275,2275]	["htm_2263.wav","htm_2263.wav","htm_2275.wav","htm_2275.wav"]	⸢マー⸣ビン　⸣アレー　⸣ミサムヌ
4	1622	⸣-ナ	[2616,2616,2619,2619]	["x","x","x","x"]	⸢クーナ
