count	SID	uniq_files	uniq_exs	files	exs
2	34188	["htm_34188.wav"]	["⸢パイタ⸣ナー　ンー⸢マーマ⸣ヌ　マ⸢レーン⸣ツォー","⸢ヤー⸣　ク⸢ヌ　ヤー⸣ヌ　ウ⸢チ⸣ナカー　⸢ンーマ⸣ヌ　⸣カタ　⸣アンティ　⸣スー"]	["htm_34188.wav","htm_34188.wav"]	["⸢パイタ⸣ナー　ンー⸢マーマ⸣ヌ　マ⸢レーン⸣ツォー","⸢ヤー⸣　ク⸢ヌ　ヤー⸣ヌ　ウ⸢チ⸣ナカー　⸢ンーマ⸣ヌ　⸣カタ　⸣アンティ　⸣スー"]
2	33621	["htm_33621.wav"]	["⸣ランプヌ　⸢トゥー⸣ジン","⸣ランプヌ　フ⸢ヤ"]	["htm_33621.wav","htm_33621.wav"]	["⸣ランプヌ　⸢トゥー⸣ジン","⸣ランプヌ　フ⸢ヤ"]
2	29573	["htm_29573.wav"]	["⸣ウシパー","ウ⸢クバー"]	["htm_29573.wav","htm_29573.wav"]	["⸣ウシパー","ウ⸢クバー"]
2	27752	["htm_27752.wav"]	["⸢ミック","⸢ユック"]	["htm_27752.wav","htm_27752.wav"]	["⸢ミック","⸢ユック"]
2	24344	["htm_24344.wav"]	["シ⸢マ⸣バサ","⸢マーバサ"]	["htm_24344.wav","htm_24344.wav"]	["シ⸢マ⸣バサ","⸢マーバサ"]
2	16941	["htm_16941.wav"]	["フ⸢タ　スブ","⸢ミー　スブ"]	["htm_16941.wav","htm_16941.wav"]	["フ⸢タ　スブ","⸢ミー　スブ"]
2	11918	["htm_11918.wav"]	["⸢ウッ⸣ツァー","⸢カッ⸣ツァー"]	["htm_11918.wav","htm_11918.wav"]	["⸢ウッ⸣ツァー","⸢カッ⸣ツァー"]
2	10420	["htm_10420.wav"]	["ミ⸢ドゥムキョー⸣ダイ","⸣ムクキョーダイ"]	["htm_10420.wav","htm_10420.wav"]	["ミ⸢ドゥムキョー⸣ダイ","⸣ムクキョーダイ"]
2	8893	["htm_8893.wav"]	["ウ⸢リ","カ⸢リ"]	["htm_8893.wav","htm_8893.wav"]	["ウ⸢リ","カ⸢リ"]
2	2688	["x","htm_2688.wav"]	["⸢シンダイ　イシゥ⸣カー　⸣ナルン",null]	["x","htm_2688.wav"]	["⸢シンダイ　イシゥ⸣カー　⸣ナルン",null]
2	2687	["x","htm_2687.wav"]	["⸢バー⸣　モー　⸢ワー⸣　モーラ　⸢イシゥ⸣カーンダ　⸢イシゥカーナーン⸣　ムヌ　ッ⸢ふィーリ",null]	["x","htm_2687.wav"]	["⸢バー⸣　モー　⸢ワー⸣　モーラ　⸢イシゥ⸣カーンダ　⸢イシゥカーナーン⸣　ムヌ　ッ⸢ふィーリ",null]
2	2268	["htm_2268.wav"]	["ク⸢レー　ワー⸣　ア⸢ラン⸣カー　⸢ター⸣ヤ","ミ⸢ク⸣ミ　ア⸢ラ⸣スン"]	["htm_2268.wav","htm_2268.wav"]	["ク⸢レー　ワー⸣　ア⸢ラン⸣カー　⸢ター⸣ヤ","ミ⸢ク⸣ミ　ア⸢ラ⸣スン"]
