select * from headword_exs where Ex like '%{%' or IPA like '%{%' or Trs like '%{%';
169	0	0	128	アイーイーアイルヤッター	アイー⸢イー⸣　アイル　⸢ヤッター	1	アイー⸢イー⸣　アイル　⸢ヤッター⸣　バー　ノー⸢ン⸣　ッ⸢サンシェン⸠ツォー	[ʔaiː⸢jiː⸣ ʔairu ⸢jattaː⸣ baː noː⸢n⸣ s⸢saŋʃen⸠ʦoː]	(そうだったのか{EOS}私は何も知らなかったのだよ)
163	0	0	135	アイカミ	⸢アイ⸣カミ	2	⸢アイ⸣カミナ　カ⸢シ⸣トゥ　ヌ⸢キ⸣　イ⸢リティ⸣　ス⸢ミ⸣バ	[⸢ʔai⸣kamina kḁ⸢ʃi⸣tu nu⸢ki⸣ ʔi⸢riti⸣ su⸢mi⸣ba]	(藍甕に\ruby{枷糸}{カセ|イト}と貫き糸を入れて染めなさいよ)
166	0	0	148	アイシティ	アイシ⸢ティ	2	パ⸢ジメー　ワー⸣ラ　⸢シー⸣　アイシ⸢ティ⸣　アトーラ　カ⸢リン⸣　シ⸢ミリ	[pa⸢ʤimeː waː⸣ra ⸢ʃiː⸣ ʔaiʃi̥⸢ti⸣ ʔatoːra ka⸢riŋ⸣ ʃi⸢miri]	(最初は君からしなさい{EOS}そして後から彼にさせなさい)
1421	0	0	153	アイシンカイシン	⸣アイ⸢シン⸣カイシン	1	アイ⸢シン⸣カイシン　⸢シーミラバ⸣ル　⸢フントー⸣ヌ　⸣クトー　ワ⸢カ⸣ル　⸢サン⸣カー　ワ⸢カラ⸣ヌ	[ʔai⸢ʃiŋ⸣kaiʃiŋ ⸢ʃiːmiraba⸣ru wa⸢ka⸣ru ⸢saŋ⸣kaː wa⸢kara⸣nu]	(いづれにしても<ああしてもこうしても>してみてはじめて<してみたらばぞ>分かる{EOS}しないと分からない)
187	0	0	156	アイスヌ	⸣アイ　⸢スヌ	1	⸢ダイヤー⸣　タ⸢カーン⸣ツォー　アイ⸢スヌ⸣　イッ⸢ケン⸣　ン⸢マーン⸣ティ⸢ダー	[⸢daijaː⸣ tḁ⸢kaːn⸣ʦoː ʔai⸢sunu⸣ ʔik⸢kem⸣ ʔm⸢maːn⸣ti⸢daː]	(値段は高いそうだ{EOS}だがしかし、非常に美味しいそうだ)
189	0	0	161	アイダー	アイ⸢ダー	1	ウ⸢レー⸣　アイ⸢ダー	[ʔu⸢reː⸣ ʔai⸢daː]	(それはそうだよ)。⸢ダー[⸢daː](~だよ{EOS}~よ)は名詞、動詞の終止形、命令形、形容詞の語幹、副詞などに付く。
191	0	0	170	アイツォー	アイ⸢ツォー	1	アイ⸢ツォー　ワー⸣　アズ　⸢トゥー⸣ル⸢ツォー	[ʔai⸢ʦoː waː⸣ ʔaʣu ⸢tuː⸣ru⸢ʦoː]	(そうなんだよ{EOS}君の言う通りなんだよ)
192	0	0	171	アイツォー	⸣アイツォー	1	⸣アイツォー　⸢ワー⸣　ドゥ⸢シヌ⸣　ア⸢ズタ　トゥー⸣ルツォー	[⸣ʔaiʦoː ⸢waː⸣ du⸢ʃinu⸣ ʔa⸢ʣuta tuː⸣ruʦoː]	(そうなんだそうだ{EOS}君の友人の言った通りだそうだ)
195	0	0	180	アイヌシェー	⸣アイヌシェー	1	⸢アイ⸣ヌシェー　ウ⸢レー　ワー⸣　アズ　⸢トゥール⸣ユンシェー	[⸢ʔai⸣nuʃeː ʔu⸢reː waː⸣ ʔaʣu ⸢tuːru⸣juŋʃeː]	(そうなのだよ{EOS}それは君が言う通りなんだよ)
196	0	0	188	アイベーティ	アイ⸢ベー⸣ティ	1	ウ⸢レー⸣　イッ⸢カ⸣　プ⸢スヌ⸣　ムニ　シゥ⸢カヌ⸣　アイ⸢ベー⸣ティ　⸣ウヤン　イ⸢ザリ　アー⸣クンティ	[ʔu⸢reː⸣ ʔik⸢ka⸣ pu̥⸢sunu⸣ muni si̥⸢kanu⸣ ʔai⸢beː⸣ti ⸣ʔujaŋ ʔi⸢ʣari ʔaː⸣kunti]	(彼は一向に他人の言うこと<話>を聞かない{EOS}それで親に叱られている<叱られてあるく>さ)
198	2	0	192	アイマチ	⸢アイマ⸣チ	2	⸢アイマ⸣チ　⸢ダー	[⸢ʔaima⸣ʧi ⸢daː]	(ごめんよ<あやまちだよ>)。本来は、⸢バー⸣ル　⸢ワッ⸣サ　⸢アイ⸣マチ⸢ナー　⸣ヌビ　ッ⸢ふィーリ⸣ダー[⸢baː⸣ru ⸢was⸣sa ⸢ʔaima⸣ʧi⸢naː ⸣nubi f⸢fiːri⸣daː](私が悪い{EOS}ごめんよ{EOS}堪忍してくれよ)という
200	0	0	195	アイミー	⸣アイミー	1	⸣アイミー	[ku⸢reː waː⸣ munu ⸣ʔaimiː]	(これは君のものだ{EOS}そうだろう?)
201	0	0	197	アイヤーアラヌ	⸣アイヤー　ア⸢ラ⸣ヌ	1	⸢ワー⸣　ムネー　ア⸢タラヌ	[ʔaː⸢i⸣ ʔaijaː ʔa⸢ra⸣nu ⸢waː⸣ muneː ʔa⸢taranu]	(いや<否>、そうではない{EOS}君の言うこと<言葉>は間違っている<当たらない>)
203	0	0	199	アイヤーティ	アイ⸢ヤー⸣ティ	2	ウ⸢レー⸣　ニ⸢チ⸣ヌ　⸣ンジティ　ニ⸢ビベー⸣ツォー　アイ⸢ヤー⸣ティル　キ⸢ノー⸣ヤ　キ⸢ララン⸣　ブ⸢レー⸣ル⸢ナー	[ʔu⸢reː⸣ ni⸢ʧi⸣nu ⸣ʔnʤiti ni⸢bibeː⸣ʦoː ʔai⸢jaː⸣tiru ki⸢noː⸣ja ki⸢raram⸣ bu⸢reː⸣ru⸢naː]	(彼は熱が出て寝ているそうだ{EOS}それで昨日は来られなかったん<来られずにいたの>だねえ)
226	0	0	200	アイヤッタ	⸣アイ　⸢ヤッタ	1	⸣アイ　⸢ヤッタル⸣シェー⸢ナー⸣　イ⸢クサ⸣ユーナー　ムー⸢ル　パイ⸣ター　ヒ⸢ナン⸣　シ⸢ミラリティル⸣　マ⸢ラリ⸣ヤ　カ⸢カ⸣レータルシェー	[⸣ʔai ⸢jattaru⸣ʃeː⸢naː⸣ ʔi⸢kusa⸣juːna muː⸢ru pai⸣taː çi⸢naŋ⸣ ʃi⸢miraritiru⸣ ma⸢rari⸣ja kḁ⸢ka⸣reːtaruʃeː]	(そうだったよねえ{EOS}戦争中に皆西表島へ強制避難させられて<ぞ>マラリアに罹ったものだよ)
227	0	0	203	アイヤルヌ	⸣アイ　⸢ヤルヌ	1	ク⸢トゥシェー　イーシ⸣ヌ　⸢ダイヤー⸣　ム⸢タン⸣ツォー　⸣アイ　⸢ヤルヌ　カーサン⸣カー　⸢モーキララ⸣ヌ	[ku̥⸢tuʃeː ʔiːʃi⸣nu ⸢daijaː⸣ mu⸢tan⸣ʦoː ⸣ʔai ⸢jarunu kaːsaŋ⸣kaː ⸢moːkirara⸣nu]	(今年はツノマタの値段は高値を持たないそうだ{EOS}そうだが、売らないと儲けることが出来ない)
1417	0	0	206	アイヤンダ	アイ⸢ヤンダ	3	アイヤ⸢レー⸣ティ	[ʔaija⸢reː⸣ti]	(それで{EOS}それだから))。⸣アイ　ヤ⸢リ⸣キー、⸣アイ　ヤ⸢レー⸣キ[⸣ʔai ja⸢reː⸣ki](それだから、それで)参照
277	0	0	244	アウナジ	⸢アウナ⸣ジ	1	⸢アウナ⸣ジェー　⸢マーパブン⸣　カタチニ⸣　ドゥコー　⸢ナー⸣ヌ	[⸢ʔauna⸣ʤeː ⸢maːpabuŋ⸣kḁtaʧini ⸣dukoː ⸢naː⸣nu]	(アウナジは毒蛇のように毒を持っていない{EOS}<毒はない>)
308	0	0	269	アウミツァ	⸢アウミツァ	1	⸢パイ⸣タナー　⸢アウミツァー　アッ⸣タン	[⸢pai⸣tanaː ⸢ʔaumiʦaː ʔat⸣taŋ]	(\ruby{南端}{ハイ|バタ}<西表島>には青土はあった)。ア⸢ガミツァ[ʔa⸢gamiʦa](赤土、赤粘土)の対語
311	0	0	287	アカ	⸣アカ	1	ヤ⸢ナ⸣ムノー　⸣アカナーン　⸣ドゥ―ナーン　シ⸢キ⸣シミ　タ⸢ボーン⸣ナ	[ja⸢na⸣munoː ⸣ʔakanaːn ⸣duːnaːŋ ʃi̥⸢ki⸣ʃimi ta⸢boːn⸣na]	(悪いもの<魔物{EOS}妖怪>は髪にも体にも付けさせないでください<付けさせ賜るな>)
312	0	0	288	アガ	ア⸢ガ	2	ア⸢ガッふァー⸣マ	[ʔa⸢gaffaː⸣ma]	(赤子{EOS}まったくの子供)。
312	0	0	288	アガ	ア⸢ガ	3	ア⸢ガプリムヌ	[ʔa⸢gapurimunu]	(おお馬鹿もの{EOS}全くの馬鹿者)。
314	0	0	290	アガー	ア⸢ガ⸣ー	1	ア⸢ガ⸣ー　⸢ヌーンティ⸣　プ⸢ス⸣　タ⸢タック⸣ワ	[ʔa⸢ga⸣ː ⸢nuːnti⸣ pu̥⸢su⸣ tḁ⸢takku⸣wa]	(あいた{EOS!}何故他人を叩くのか)。
314	0	0	290	アガー	ア⸢ガ⸣ー	2	ア⸢ガー⸣　プ⸢スヌ⸣　パン　⸢フンクナ	[ʔa⸢gaː⸣ pu̥⸢sunu⸣ paŋ ⸢ɸuŋkuna]	(あいた{EOS!}他人の足を踏みつけるな)
